NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n378;260040;oc;TI;diaf dist;l;c;;fissures;1;nf dist;;6;20;indet;;;;;;;;;;;;;;;;;;;;
n1301;270035;cafa;HU;s;l;c;;burnt, carnivore;1;f;;12;15;indet;;;;;;1;143,4;138,3;26,7;33,7;11;26,5;20,6;;19;;;;;
n3298;170077;oc;cox;acet + isquion;l;c;si;fissures, roots;2;f;fem;12;120;Med;;;;;;3;;;6,6;8,2;;;;;;;;;;
n13779;***2307;micromam;FE;diaf prox;r;;;;;;;;;NR;;;;;;12;;;;;;;;;;;;;;
n3120;170023;oc;P1;epif prox;;;;roots;1;nf;;6;24;Med;;;;;;3;;;;;;;;;;;;;;
n8433;290305;bota;vert;lumbar;;c;;fissures, carnivore;2;nf;;12;54;NR;;;;;;6;;;;;;;;;;;;;;
n57;260306;oc;vert;apofisi transversa;;c;;roots;1;;;9;72;Vand;;;450;525;v, lumbar;;;;;;;;;;;;;;;
n3725;280113;oc;carp;el mes informe, pla;;;;;;;;9;120;NA3;;;;;;4;;;;;;;;;;;;;;
n1895;270211;oc;esc;pala;;sto;;fissures, roots;3;;;9;120;Vand;;;;;;2;;;;;;;;;;;;;;
n12868;***1065;oc;P1;s;;c;;roots;1;nf;;1;6;EarlyRoman;;;;;;12;;;;;;;;;;;;;;
n8163;290109;oc;cox;s;l;c;;carnivore;1;nf;fem;24;48;NR;;;;;;6;28,8;25,3;5,6;8,2;14,7;;;;;;;;;
n1520;270400;bota;skull;banya;;c;;;;;;9;120;Med;;;;;;1;;;;;;;;;;;;;;
n9143;290208;bota;MT;ext prox;;c;;fissures;1;;;;;NR;;;;;;7;;43,1;41,4;;;;;;;;;;;
n470;160002;oc;RA;diaf;l;c;;roots;1;;;9;72;Imp;;;100;150;;;;;;;;;;;;;;;;
n9460;290425;other;;;;;;;;;;;;NA1;;;;;;7;;;;;;;;;;;;;;
n4496;280434;oc;TI;epif prox;r;c;;roots;1;nf;;9;42;NR;;;;;;4;;;;;;;;;;;;;;
n5842;280337;oc;AS;;;sto;si;;0;;;4;12;NR;;;;;;5;;;;;;;;;;;;;;
n7248;170066;oc;MC;diaf prox;l;ant;;carnivore, roots;2;;;6;18;Vand;;;;;;C;;;;;;;;;;;;;;
n8890;290115;macro;cost;cos;;c;si;roots;1;;;;;EarlyRoman;;;;;;6;;;;;;;;;;;;;;
n5156;180128;sudo;cox;acetabul + isquion;l;c;;weathering, roots;2;nf;;6;12;EarlyRoman;;;;;;3;;;;;;;;;;;;;;
n748;270105;oc;FE;diaf prox;r;c;;burnt;;nf;;9;42;Vand;;;;;;1;;;;;;;;;;;;;;
n68;260307;oc;MT;diaf;;c;;;0;;;9;72;Med;;;;;;;;;;;;;;;;;;;;
n3597;280112;oc;skull;hioide;l;c;;roots;1;;;6;120;NA3;;;;;;4;;;;;;;;;;;;;;
n6480;280302;bota;HU;diaf;;post;;roots;1;;;12;120;Vand;;;;;;A;;;;;;;;;;;;;;
n8645;290409;bota;P2;s;;c;;roots;1;f;;24;120;NA1;;;;;;6;;;;;;;;;;;;;;
n1572;270063;oc;skull;max;l;c;;burnt;1;;;9;120;NR;;;;;;1;;;;;;;;;;;;;;
n684;270323;oc;RA;diaf;;sto;si;weathering, roots;1;;;9;120;Vand;;;;;;1;;;;;;;;;;;;;;
n12796;190022;oc;FE;diaf;;c;;weathering, roots;2;;;-1;0;indet;;;;;;11;;;;;;;;;;;;;;
n12063;190030;bota;P2;s;;c;;roots, weathering;1;f;;24;120;EarlyRoman;;;;;;11;;;;;;;;;;;;;;
n2294;270064;oc;skull;max: m1-m3;r;c;;;0;m3 +;;24;36;NR;;;;;;2;;;;;;;;;;;;;;
n13125;***2067;bota;HU;diaf;;post;;burnt, fissures;2;;;;;indet;;;;;;12;;;;;;;;;;;;;;
n11111;290220;sudo;dn;d4 inf;;;si;roots;1;;;;;NA3;;;;;;10;;;;;;;;;;;;;;
n2765;270100;bota;skull;zigomatic;r;;;fissures, roots;2;;;12;120;Vand;;;;;;2;;;;;;;;;;;;;;
n9461;290416;other;;;;;;;;;;;;NA2;;;;;;7;;;;;;;;;;;;;;
n620;170023;oc;skull;sto;;c;;roots;1;;;9;120;Med;;;;;;;;;;;;;;;;;;;;
n973;270118;oc;mand;diastema;r;;si;weathering;2;d4 (forat);;6;18;NR;;;;;;1;;;;;;;;;;;;;;
n2333;270064;oc;mp;diaf;;sto;;weathering;2;;;9;120;NR;;;;;;2;;;;;;;;;;;;;;
n2564;270055;sudo;vert;toracica;;c;si;roots;2;;;;;NR;;;;;;2;;;;;;;;;;;;;;
n9427;290425;oc;vert;toracica;;c;;fissures, roots;1;nf;;9;42;NA1;;;;;;7;;;;;;;;;;;;;;
n8178;290109;ovar;dn;m2 inf;r;c;;;0; B Grant;;9;18;NR;;;;;;6;;;;;;;;;;;;;;
n758;270300;ovar;dn;m3;l;c;;;; +/0, +;;18;30;indet;;;;;;1;;;;;;;;;;;;;;
n11849;190016;rattus;;;;;;;;;;;;indet;;;;;;10;;;;;;;;;;;;;;
