NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n2170;270064;sudo;P3;s;;c;;;;f;;6;18;NR;;;;;;2;42,2;14,7;26,4;;;;;;;;;;;
n6446;280302;oc;vert;lumbar;;;;roots, oxid ferro;2;nf;;9;42;Vand;;;;;;A;;;;;;;;;;;;;;
n9817;290212;bota;RA;diaf prox;r;c;;fissures, roots;1;f prox;;12;120;NR;;;;;;8;;75;40,8;;;;;;;;;;;
n3853;280122;sudo;skull;orbita;l;c;;;0;nf;;1;4;NA3;;;;;;4;;;;;;;;;;;;;;
n3377;170049;bota;AS;;r;c;;roots;2;;;6;120;Med;;;;;;3;58,5;32,2;35,8;;;;;;;;;;;
n285;160050;bota;ulna;diaf prox;r;c;;fissures, roots i carnivore;3;;;12;96;EarlyRoman;;;-70;-25;;;;;;;;;;;;;;;;
n9487;190207;oc;cox;isquion;r;c;si;roots;2;f;;12;120;EarlyRoman;;;;;;7;;;;;;;;;;;;;;
n3391;170049;oc;P3;s;;c;;roots;1;;;9;120;Med;;;;;;3;28,8;7,6;14,8;;;;;;;;;;;
n12720;190022;other;tortuga;enforcadura;;;;;;;;;;indet;;;;;;11;;;;;;;;;;;;;;
n2354;270064;bota;P2;s;;c;;fissures;2;f;;24;120;NR;;;;;;2;40,7;31,1;30,5;24,4;27,8;29;;;;;;;;
n12073;190030;bota;AS;;l;lat;;roots;2;;;;;EarlyRoman;;;;;;11;64,2;35,6;;;;;;;;;;;;
n13337;***2315;bota;MC;diaf prox;r;c;;fissures;3;;;;;NR;;;;;;12;;54;33,1;;;;;;;;;;;
n12052;190030;bota;P1 ant;gs;;c;;roots, fissures;2;f;;24;120;EarlyRoman;;;;;;11;59;30,5;31,8;23,7;28,7;21,8;;;;;;;;
n1606;270063;bota;CA;;r;c;;carnivore, fissures, roots;2;;;12;120;NR;;;;;;1;;47,4;42,7;;;;;;;;;;;
n1589;270063;sudo;AS;;l;c;;burnt, carnivore;2;;;9;72;NR;;;;;;1;;18;18,2;;;;;;;;;;;
n2504;270126;oc;vert;axis;;sto;;;0;;;12;48;NR;;;;;;2;;;;;;;;;;;;;;
n5500;280205;oc;AS;;r;c;;roots;1;;;9;120;NA3;;;;;;5;32,5;18,1;21,2;;;;;;;;;;;
n3629;280106;sudo;esc;g-s;l;c;;weathering;1;nf;;0;1;NA3;;;;;;4;;;;;;;;;;;;;;
n6074;280468;bota;skull;frontal;;;;fissures;1;;;;;NR;;;;;;A;;;;;;;;;;;;;;
n6196;280471;bota;P1;s;;c;;roots;1;f;;24;120;EarlyRoman;;;;;;A;48,3;25,2;29,2;20,5;23,4;17,7;;;;;;;;
n4110;280412;sudo;TI;diaf;r;c;;weathering, roots;1;nf;;4;24;Vand;;;;;;4;;;;;;;;;;;;;;
n3447;280220;oc;RA;diaf;l;lat;;carnivore;2;;;9;120;NA3;;;;;;4;;;;;;;;;;;;;;
n4514;280435;oc;AS;;l;c;;roots;1;;;9;120;Vand;;;;;;4;30,9;16,6;19,1;;;;;;;;;;;
n5676;280217;oc;cox;g-s;;;;weathering;1;nf;;1;5;NA3;;;;;;5;;;;;;;;;;;;;;
n7557;180098;sudo;cox;isquion;l;c;;carnivore, roots;1;f;;;;Vand;;;;;;B;30,9;25,8;;;10,2;8,5;;;;;;;;
n4816;260163;other;tortuga;;;;;;;;;;;indet;;;;;;4;;;;;;;;;;;;;;
n2787;270100;oc;HU;ext dist;r;c;si;fissures, roots;1;;;9;120;Vand;;;;;;2;;;;;;;;;;;;;;
n13138;***2079;ovar;HU;diaf dist;r;c;;;0;f;;6;120;NR;;;;;;12;;;;;;28,5;24,7;;13,8;;;;;
n5504;280206;oc;TI;diaf dist;l;c;si;roots;1;fv dist;;15;16;NA3;;;;;;5;;;;14,6;26,7;20,1;;;;;;;;
n9391;290425;oc;AS;;l;c;;carnivore;2;;;12;120;NA1;;;;;;7;33;20,2;17,8;;;;;;;;;;;
n199;160035;ovar;vert;atlas;;c;;roots;1;;fem;9;96;EarlyRoman;;;-125;-50;;;;54,1;;;;28,2;;;;;;;;
n12625;190019;ovar;AS;;r;c;;roots;1;;;;;indet;;;;;;11;31,1;;;;;19,4;;;;;;;;
n11925;290139;sudo;carp;pisiforme;l;c;;fissures;1;;;;;NA3;;;;;;11;;;;;;;;;;;;;;
n10879;290432;bota;dn;m3 inf;l;c;;;0;m3 +;;36;48;NA1;;;;;;9;34,1;15;14,9;;;;;;;;;;;
n814;270365;oc;MT;diaf prox;l;c;;roots;2;;;1;3;indet;;;;;;1;;;;;;;;;;;;;;
n452;260161;sudo;TI;diaf;;c;;roots;1;;;9;72;Vand;;;450;500;;;;;;;;;;;;;;;;
